100.0.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.10.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.1.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.11.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.12.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.14.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.15.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.16.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.17.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.18.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.19.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.2.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.33.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.34.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.35.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.36.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.37.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.38.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.40.0.0/17,V4-VZO,Verizon Business,US,32768,ALLOCATION,verizonbusiness.com
100.4.0.0/17,V4-VZO,Verizon Business,US,32768,ALLOCATION,verizonbusiness.com
100.40.128.0/17,V4-VZO,Verizon Business,US,32768,ALLOCATION,verizonbusiness.com
100.41.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.4.128.0/17,V4-VZO,Verizon Business,US,32768,ALLOCATION,verizonbusiness.com
100.6.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.7.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
100.8.0.0/16,V4-VZO,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
108.10.128.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.11.0.0/18,VIS-BLOCK,Verizon Business,US,16384,ALLOCATION,verizonbusiness.com
108.11.128.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.11.160.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.11.192.0/18,VIS-BLOCK,Verizon Business,US,16384,ALLOCATION,verizonbusiness.com
108.1.128.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.1.192.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.12.0.0/18,VIS-BLOCK,Verizon Business,US,16384,ALLOCATION,verizonbusiness.com
108.12.128.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.12.160.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.12.192.0/18,VIS-BLOCK,Verizon Business,US,16384,ALLOCATION,verizonbusiness.com
108.1.224.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.14.0.0/16,VIS-BLOCK,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
108.15.0.0/17,VIS-BLOCK,Verizon Business,US,32768,ALLOCATION,verizonbusiness.com
108.15.160.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.15.176.0/20,VIS-BLOCK,Verizon Business,US,4096,ALLOCATION,verizonbusiness.com
108.15.192.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.15.224.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.16.0.0/16,VIS-BLOCK,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
108.1.64.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.17.0.0/18,VIS-BLOCK,Verizon Business,US,16384,ALLOCATION,verizonbusiness.com
108.17.128.0/19,FTTP,POQUOSON PUBLIC SCHOOL,US,8192,REASSIGNMENT,
108.17.64.0/18,FTTP,MIJARA INC,US,16384,REASSIGNMENT,
108.18.0.0/16,VIS-BLOCK,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
108.1.96.0/19,VIS-BLOCK,Verizon Business,US,8192,ALLOCATION,verizonbusiness.com
108.20.0.0/16,VIS-BLOCK,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
108.2.0.0/16,VIS-BLOCK,Verizon Business,US,65536,ALLOCATION,verizonbusiness.com
